"filename", "language", "JSON", "JSON with Comments", "Markdown", "PostCSS", "TypeScript", "HTML", "TypeScript JSX", "XML", "Rust", "comment", "blank", "total"
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\ports\IComfyUiClient.ts", "TypeScript", 0, 0, 0, 0, 42, 0, 0, 0, 0, 12, 9, 63
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\ports\IComfyUiSettingsRepository.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\ports\IEditorPreferencesRepository.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\ports\IFieldPromptConfigRepository.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\ports\IImageExportPreferencesRepository.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\ports\IImageProcessor.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 3, 18
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\ports\ILastOpenedProjectStore.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\ports\ILlmClient.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 3, 15
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\ports\ILlmSettingsRepository.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\ports\IPalettePresetRepository.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\ports\IPatternBrushRepository.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\ports\IPixelRestorePreferencesRepository.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\ports\IProjectRepository.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\ports\IPromptPresetRepository.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\ports\IRecentProjectsStore.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\ports\ISoftwareDataPathStore.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\ports\IWindowPreferencesStore.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\ports\IWorldAgentSettingsRepository.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\ports\IWorldRepository.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\ports\IWorldsWorkspaceStore.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\AnalyzeColorVariation.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 3, 15
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\AssetFolderUseCases.ts", "TypeScript", 0, 0, 0, 0, 125, 0, 0, 0, 0, 0, 12, 137
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\AssetRecordUseCases.ts", "TypeScript", 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 5, 71
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\AutoSaveProject.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 2, 17
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\CanvasSizePreferences.ts", "TypeScript", 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 8, 80
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\ClipboardSelectionDrag.test.ts", "TypeScript", 0, 0, 0, 0, 113, 0, 0, 0, 0, 0, 15, 128
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\ClipboardUseCases.ts", "TypeScript", 0, 0, 0, 0, 125, 0, 0, 0, 0, 0, 16, 141
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\ColorEditUseCases.ts", "TypeScript", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 3, 42
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\CreateCanvasFromCapture.ts", "TypeScript", 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 4, 74
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\CreateCanvasFromImport.ts", "TypeScript", 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 4, 59
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\CreateMarkdownAsset.ts", "TypeScript", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 6, 39
